Query Name	Rank	TF	Score	Library	Overlapping_Genes
adipose - post-fed reversed, up	1	MEOX1	11.33	ARCHS4 Coexpression,1;Enrichr Queries,18;GTEx Coexpression,15	KLB,COL15A1,ECM2,ELOVL5,SERPINF1,ADIPOQ,AQP1,DOCK11,ALDH2,ASPH,PRKAR2B,OGN,ENPP2,CD36
adipose - post-fed reversed, up	2	PPARG	12.6	Literature ChIP-seq,7;ARCHS4 Coexpression,2;Enrichr Queries,27;ReMap ChIP-seq,24;GTEx Coexpression,3	KLB,COL15A1,ECM2,NUDT5,HACD2,ROBO1,DOCK11,PRDX2,NT5E,ALDH2,SCP2,SESN3,YWHAQ,PRKAR2B,ENPP2,CD36,RFTN2,USP47,CERS6,MDH1,ELOVL5,SORT1,SERPINF1,ADIPOQ,UBE4A,VPS13B,ZHX1,ACSF2,ASPH,GSTA4,CNTN1
adipose - post-fed reversed, up	3	PRRX1	20.0	ARCHS4 Coexpression,35;Enrichr Queries,6;GTEx Coexpression,19	NT5E,COL15A1,ECM2,ASPH,SERPINF1,ESD,OGN,ENPP2,CNTN1,ITGAV,AQP1
adipose - post-fed reversed, up	4	TSHZ2	23.67	ARCHS4 Coexpression,21;Enrichr Queries,24;GTEx Coexpression,26	COL15A1,ECM2,SESN3,PRKAR2B,SERPINF1,CFL1,ENPP2,VPS13B,DMD,CD36,ASPA,ROBO1
adipose - post-fed reversed, up	5	MEOX2	38.67	ARCHS4 Coexpression,3;Enrichr Queries,1;GTEx Coexpression,112	COL15A1,ECM2,SERPINF1,OGN,ADIPOQ,ENPP2,CNTN1,COL6A6,CD36,AQP1
adipose - post-fed reversed, up	6	ZNF883	43.0	ARCHS4 Coexpression,7;GTEx Coexpression,79	YWHAQ,MDH1,GSTA4,IDH1,CALM2,PRTFDC1,GPM6B,GRIA3
adipose - post-fed reversed, up	7	AR	47.6	Literature ChIP-seq,25;ARCHS4 Coexpression,83;Enrichr Queries,36;ReMap ChIP-seq,10;GTEx Coexpression,84	USP47,CERS6,DNAH8,SERPINF1,ADK,HACD2,ZHX1,ROBO1,PRDX2,NT5E,SCP2,GGCX,YWHAQ,ACADL,ASPH,SESN3,ALDH2,OGN,ENPP2,CCSER2,DMD,CD36,CALM2
adipose - post-fed reversed, up	8	CEBPA	64.6	Literature ChIP-seq,114;ARCHS4 Coexpression,18;Enrichr Queries,57;ReMap ChIP-seq,8;GTEx Coexpression,126	KLB,ECM2,ELOVL5,IDH1,SERPINF1,ADIPOQ,NUDT5,SCP2,ALDH2,ASPH,CNTN1,CD36,CALM2
adipose - post-fed reversed, up	9	TSC22D1	72.0	ARCHS4 Coexpression,19;Enrichr Queries,92;GTEx Coexpression,105	RFTN2,YWHAQ,GSTA4,PRKAR2B,IDH1,CFL1,CNTN1,CALM2,GPM6B,GRIA3
adipose - post-fed reversed, up	10	EBF1	78.8	ARCHS4 Coexpression,9;ENCODE ChIP-seq,101;Enrichr Queries,40;ReMap ChIP-seq,242;GTEx Coexpression,2	COL15A1,ECM2,MDH1,ELOVL5,SERPINF1,GLO1,ADIPOQ,ROBO1,DOCK11,PRDX2,ASPH,GGCX,GSTA4,ESD,CFL1,ENPP2,AP1S2,ENPP4,CD36
adipose - post-fed reversed, up	11	TBX18	80.33	ARCHS4 Coexpression,37;Enrichr Queries,159;GTEx Coexpression,45	NT5E,ECM2,ASPH,SERPINF1,OMD,ESD,OGN,ITGAV
adipose - post-fed reversed, up	12	AEBP1	81.5	ARCHS4 Coexpression,140;GTEx Coexpression,23	COL15A1,ECM2,OMD,ESD,OGN,ITGAV,AQP1
adipose - post-fed reversed, up	13	ZBED6	89.0	ARCHS4 Coexpression,89	CFL1,VPS13B,ITGAV
adipose - post-fed reversed, up	14	MTERF2	89.5	ARCHS4 Coexpression,14;GTEx Coexpression,165	MFSD8,YWHAQ,GSTA4,CFL1,ESD,ENPP2,CALM2
adipose - post-fed reversed, up	15	ZEB2	95.5	ARCHS4 Coexpression,165;Enrichr Queries,173;ReMap ChIP-seq,20;GTEx Coexpression,24	RFTN2,ELOVL5,SERPINF1,VPS13B,DOCK11,PRDX2,GGCX,PRKAR2B,ENPP2,CD36,ASPA,CALM2,PRTFDC1,GPM6B
adipose - post-fed reversed, up	16	SP7	96.33	ARCHS4 Coexpression,250;Enrichr Queries,10;GTEx Coexpression,29	RFTN2,COL15A1,ANAPC16,SERPINF1,OMD,AQP1,OGN,ENPP2,CD36,ASPA,CALM2,GPM6B
adipose - post-fed reversed, up	17	ZNF117	103.7	ARCHS4 Coexpression,6;Enrichr Queries,304;GTEx Coexpression,1	KLB,COL15A1,ECM2,ELOVL5,SERPINF1,IDH1,ADIPOQ,VPS13B,DOCK11,ASPH,SESN3,GSTA4,PRKAR2B,CFL1,ITGAV,CD36
adipose - post-fed reversed, up	18	ZNF415	108.7	ARCHS4 Coexpression,195;Enrichr Queries,64;GTEx Coexpression,67	APPBP2,GSTA4,CNTN1,ENPP2,DMD,CALM2,PRTFDC1,GPM6B,ROBO1
adipose - post-fed reversed, up	19	LHX6	116.3	ARCHS4 Coexpression,168;Enrichr Queries,172;GTEx Coexpression,9	DOCK11,COL15A1,YWHAQ,GSTA4,PRKAR2B,SERPINF1,ADIPOQ,ENPP2,CD36,GRIA3,AQP1
adipose - post-fed reversed, up	20	MITF	118.4	Literature ChIP-seq,55;ARCHS4 Coexpression,104;Enrichr Queries,38;ReMap ChIP-seq,133;GTEx Coexpression,262	COL15A1,ADK,AQP1,ROBO1,NT5E,YWHAQ,ALDH2,PRKAR2B,CFL1,ESD,ENPP2,AP1S2,DMD,CD36,GPM6B,RFTN2,SORT1,AGL,SERPINF1,IDH1,VPS13B,ACSF2,ASPH,CNTN1,CCSER2,COL6A6,ASPA
adipose - post-fed reversed, up	21	FOXS1	120.0	ARCHS4 Coexpression,255;Enrichr Queries,70;GTEx Coexpression,35	COL15A1,ECM2,DNAH8,SERPINF1,OMD,ESD,OGN,CNTN1,ITGAV,AQP1
adipose - post-fed reversed, up	22	ZNF260	120.3	ARCHS4 Coexpression,221;Enrichr Queries,55;GTEx Coexpression,85	RFTN2,USP47,SESN3,YWHAQ,GSTA4,IDH1,ITGAV,ZHX1,PRTFDC1
adipose - post-fed reversed, up	23	HDX	121.3	ARCHS4 Coexpression,78;Enrichr Queries,122;GTEx Coexpression,164	ECM2,YWHAQ,GSTA4,ESD,ENPP2,DMD,CALM2,GPM6B,ROBO1
adipose - post-fed reversed, up	24	ZNF536	123.3	ARCHS4 Coexpression,65;Enrichr Queries,246;GTEx Coexpression,59	RFTN2,YWHAQ,GSTA4,CNTN1,ENPP2,ASPA,GPM6B,ROBO1
